Rank,Name,Revenues ($M),Revenue Percent Change,Profits ($M),Profits Percent Change,Assets ($M),Employees,Change in Rank,Years on Global 500 List
249,HBIS Group,"$56,728.3",-4.80%,$23.7,-52.20%,"$76,868.2","97,802",-20,16
250,Contemporary Amperex Technology,"$56,632.8",15.90%,"$6,232.5",36.40%,"$101,040.9","1,16,055",42,2
251,Renault,"$56,621.6",13.40%,"$2,376.2",,"$134,651","1,05,497",35,30
252,Banco Bradesco,"$56,490.5",9.50%,"$2,854.2",-29.80%,"$397,255.5","79,583",21,28
253,China Electronics Technology Group,"$56,083.8",0.40%,"$2,563",-3.80%,"$92,803.8","2,41,097",-1,9
254,Nationwide,"$54,609.4",6.10%,$-45.2,-104.60%,"$290,615","24,118",21,30
255,Charter Communications,"$54,607",1.10%,"$4,557",-9.90%,"$147,193","1,01,100",6,8
256,State Power Investment,"$54,484.6",0.90%,"$1,615.9",117.30%,"$247,045.1","1,27,514",6,13
257,Edeka Zentrale,"$54,454.6",10.10%,$461.7,2.70%,"$11,957.2","4,10,700",31,26
258,Bharat Petroleum,"$54,413.1",-8%,"$3,245.4",1122.90%,"$24,287.9","8,511",-25,21
259,AbbVie,"$54,318",-6.40%,"$4,863",-58.90%,"$134,711","50,000",-19,9
260,New York Life Insurance,"$54,317.2",-7.10%,$804.6,,"$408,904.9","15,384",-22,30
261,Intel,"$54,228",-14%,"$1,689",-78.90%,"$191,572","1,24,800",-50,30
262,TJX,"$54,217",8.60%,"$4,474",27.90%,"$29,747","3,49,000",23,23
263,Novartis,"$54,088",4.40%,"$14,850",113.50%,"$99,945","76,057",8,30
264,Rio Tinto Group,"$54,041",-2.70%,"$10,058",-19%,"$103,549","57,174",-10,19
265,Tsingshan Holding Group,"$53,980",-1.30%,"$1,554.2",6.70%,"$20,646.7","1,07,805",-8,6
266,Prudential Financial,"$53,979",-10.10%,"$2,488",,"$721,123","40,366",-39,30
267,COSCO Shipping,"$53,929.6",-42.10%,"$3,584.4",-42.50%,"$151,544.5","1,06,221",-152,17
268,BHP Group,"$53,817",-24.70%,"$12,921",-58.20%,"$101,296","42,319",-88,30
269,HP,"$53,718",-14.60%,"$3,263",4.20%,"$37,004","58,000",-56,30
270,United Airlines Holdings,"$53,717",19.50%,"$2,618",255.20%,"$71,104","1,03,300",56,27
271,Tata Motors,"$53,634.9",22.80%,"$3,794",1161.90%,"$44,475.6","91,496",66,15
272,Performance Food Group,"$53,354.7",13.10%,$397.2,253.10%,"$12,499","34,825",32,4
273,Iberdrola,"$53,334.1",-6%,"$5,192.3",13.80%,"$165,709.1","41,448",-27,20
274,Deutsche Bahn,"$53,197.9",-10.20%,"$-2,566.4",,"$85,566.6","3,26,781",-42,30
275,Idemitsu Kosan,"$53,042.6",-13.70%,"$1,581.1",-15.60%,"$33,145.7","16,571",-54,30
276,Tyson Foods,"$52,881",-0.80%,$-648,-120%,"$36,251","1,39,000",-10,23
277,Midea Group,"$52,789.6",2.70%,"$4,763.2",8.40%,"$68,477.3","1,98,613",1,9
278,American Airlines Group,"$52,788",7.80%,$822,547.20%,"$63,058","1,32,100",13,29
279,China United Network Communications,"$52,632.3",-0.30%,"$1,154.5",6.40%,"$93,387.4","2,42,891",-12,16
280,Liberty Mutual Insurance Group,"$52,612",5.30%,$213,-48.60%,"$165,208","45,000",4,30
281,Bank of Nova Scotia,"$52,535.8",44.40%,"$5,495",-28.60%,"$1,016,565.1","89,483",134,27
282,Volvo,"$52,101.5",11.30%,"$4,696.3",45.10%,"$66,905.7","97,440",25,30
283,Intesa Sanpaolo,"$52,004.4",33.90%,"$8,350.1",82.30%,"$1,064,247.9","94,368",100,26
284,Saint-Gobain,"$51,830.3",-3.80%,"$2,917.8",-7.60%,"$63,285.8","1,44,422",-21,30
285,Shaanxi Yanchang Petroleum (Group),"$51,525.9",-1.30%,$997.3,14.60%,"$68,398.2","1,30,427",-16,12
286,Bayer,"$51,498.4",-3.50%,"$-3,179.4",-172.80%,"$128,406.2","99,723",-21,30
287,Tokio Marine Holdings,"$51,371.9",4.60%,"$4,814.4",73.10%,"$202,320.3","43,870",3,30
288,Nike,"$51,217",9.70%,"$5,070",-16.10%,"$37,531","83,700",20,18
289,Maersk Group,"$51,065",-37.40%,"$3,822",-86.90%,"$82,100","1,05,909",-138,21
290,Phoenix Pharma,"$50,934.9",33.90%,$234.6,-6.90%,"$15,538","41,276",98,14
291,Greenland Holding Group,"$50,897",-21.50%,"$-1,349.9",-999%,"$168,210.2","59,970",-86,13
292,Shanghai Pudong Development Bank,"$50,864.5",-5.90%,"$5,184.5",-31.90%,"$1,269,019.6","63,582",-32,12
293,Louis Dreyfus,"$50,624",-15.50%,"$1,013",0.70%,"$22,076","17,017",-65,11
294,Bank of Montreal,"$50,495",45.40%,"$3,237",-69.20%,"$931,889.3","55,767",139,14
295,ZF Friedrichshafen,"$50,406.6",9.40%,$-33.5,-114%,"$43,262.7","1,65,938",20,11
296,KB Financial Group,"$50,228.4",15.10%,"$3,546.5",4.20%,"$552,514.4","25,003",43,12
297,Sanofi,"$50,208.7",5.20%,"$5,837.7",-33.70%,"$139,677.5","86,088",2,20
298,Marubeni,"$50,166.9",-26.10%,"$3,261.7",-18.70%,"$59,010.7","53,804",-108,30
299,Oracle,"$49,954",17.70%,"$8,503",26.60%,"$134,384","1,64,000",53,18
300,Jinchuan Group,"$49,900.7",0.90%,"$1,359.5",22.20%,"$21,777","31,025",-11,6
301,Swiss Re,"$49,800",8.30%,"$3,214",580.90%,"$179,576","14,719",15,30
302,Chubb,"$49,735",15.20%,"$9,028",69.90%,"$230,682","40,000",40,8
303,Enterprise Products Partners,"$49,715",-14.60%,"$5,532",0.80%,"$70,982","7,500",-64,14
304,Capital One Financial,"$49,484",29%,"$4,887",-33.60%,"$478,464","51,987",82,14
305,Denso,"$49,435",4.50%,"$2,164.2",-6.90%,"$60,133.4","1,62,029",-2,30
306,HDFC Bank,"$49,299.1",93.40%,"$7,740.8",35.10%,"$483,578.8","2,13,527",,1
307,China National Building Material Group,"$49,088.8",-13.10%,$198.2,-68.50%,"$99,339.9","2,06,518",-60,14
308,Veolia Environnement,"$49,027.1",8.70%,"$1,013",34.60%,"$80,148","2,18,288",16,22
309,China State Shipbuilding,"$48,890.1",-5.60%,"$2,408.4",-11.10%,"$143,707.9","1,96,309",-37,4
310,Vodafone Group,"$48,871.9",2.80%,"$1,236.2",-90%,"$155,751","96,282",-8,25
311,Plains GP Holdings,"$48,712",-15.10%,$198,17.90%,"$28,597","4,200",-68,9
312,Landesbank Baden-Württemberg,"$48,566.6",137.80%,"$1,080",-32.30%,"$368,130.1","10,434",,17
313,EXOR Group,"$48,368.8",5.20%,"$4,534",2%,"$104,681.9","83,773",4,14
314,Jingye Group,"$48,120",5.30%,$248.9,-24.40%,"$13,369.9","33,000",6,4
315,UniCredit Group,"$48,044.4",68.40%,"$10,277.6",51.30%,"$866,991.4","70,752",,27
316,Energie Baden-Württemberg,"$48,032.2",-18.50%,"$1,662.2",-9.10%,"$71,481","26,943",-79,14
317,Tokyo Electric Power,"$47,868.9",-16.90%,"$1,853.3",,"$96,518.2","38,183",-75,30
318,Sumitomo,"$47,812.9",-5.10%,"$2,673.2",-36%,"$72,957.2","79,692",-36,30
319,World Kinect,"$47,710.6",-19.20%,$52.9,-53.60%,"$7,375.3","5,289",-85,12
320,Orange,"$47,698.5",4.30%,"$2,637.8",16.90%,"$121,550.7","1,27,109",-1,30
321,HD Hyundai,"$46,959",-0.40%,$202.5,-81.40%,"$52,479.4","34,097",-16,2
322,Ingka Group,"$46,938",1.70%,"$1,596.7",406.90%,"$61,283.2","1,65,353",-8,4
323,ANZ Group Holdings,"$46,827.7",133.60%,"$4,724",-6.80%,"$712,705.5","40,342",,17
324,AIG,"$46,802",-17.10%,"$3,643",-64.60%,"$539,306","25,200",-76,29
325,SoftBank Group,"$46,748.8",-3.70%,"$-1,575.1",,"$308,981.9","65,352",-30,17
326,Sinomach,"$46,482.2",-9.10%,$181.6,,"$45,848.2","1,17,357",-47,14
327,Talanx,"$46,155.8",-17.60%,"$1,709.2",38.70%,"$187,041.1","27,863",-78,11
328,America Movil,"$46,010.9",7.70%,"$4,291.5",13.30%,"$92,397.4","1,76,083",21,18
329,AstraZeneca,"$45,811",3.30%,"$5,955",81.10%,"$101,119","89,900",2,23
330,Zhejiang Communications Investment Group,"$45,772",-1.80%,$763.6,-11.10%,"$131,772.9","43,266",-20,4
331,China Pacific Insurance (Group),"$45,759.9",-32.40%,"$3,850.3",5.30%,"$330,237.8","98,732",-139,14
332,Coca-Cola,"$45,754",6.40%,"$10,714",12.30%,"$97,703","79,100",12,30
333,TIAA,"$45,734.8",11.80%,"$-1,408.9",-385.40%,"$629,369.9","16,023",33,27
334,Caixa Economica Federal,"$45,706.8",23.30%,"$2,349.7",24.10%,"$377,307.8","86,962",72,4
335,CHS,"$45,590",-4.60%,"$1,900.4",13.20%,"$18,957.4","10,609",-37,17
336,China Huadian,"$45,534.1",0.90%,"$1,909.5",87%,"$154,660.9","93,459",-13,13
337,Crédit Mutuel Group,"$45,489.9",59.10%,"$4,261.5",21.70%,"$1,008,979.5","77,283",,1
338,MS&AD Insurance Group Holdings,"$45,478.4",17.20%,"$2,555",114.10%,"$178,284.7","38,391",46,26
339,Hyundai Mobis,"$45,368.7",12.80%,"$2,620.6",36.10%,"$45,225.4","46,183",33,13
340,Susun Construction Group,"$45,265.4",-1.90%,"$1,142",-15.90%,"$33,330.9","1,41,256",-27,3
341,SNCF Group,"$45,145",3.60%,"$1,416.2",-44.50%,"$143,864.6","2,82,786",-1,30
342,Bristol-Myers Squibb,"$45,006",-2.50%,"$8,025",26.80%,"$95,159","34,100",-30,21
343,China South Industries Group,"$44,790.2",3.10%,"$1,136.8",12.10%,"$65,364.6","1,59,837",-2,15
344,Continental,"$44,778",8%,"$1,250.1",1684.70%,"$41,697.4","2,02,763",18,22
345,Raizen,"$44,694.1",-6.30%,$105.6,-77.70%,"$25,558.5","45,417",-44,3
346,Dow,"$44,622",-21.60%,$589,-87.20%,"$57,967","35,900",-101,5
347,George Weston,"$44,559.6",1.70%,"$1,141.3",-18.20%,"$37,750.3","2,20,280",-11,30
348,L'Oréal,"$44,520.7",10.60%,"$6,685.3",11.40%,"$57,273.1","94,605",22,30
349,Fomento Economico Mexicano,"$44,167.9",31.90%,"$3,703.9",211.50%,"$47,602.4","3,92,932",105,5
350,Telefónica,"$43,947.2",4.50%,$-964.3,-145.60%,"$115,224.2","1,04,142",5,30
351,China Minsheng Banking,"$43,553.6",-2.30%,"$5,060.3",-3.50%,"$1,081,316","63,742",-22,12
352,Best Buy,"$43,452",-6.20%,"$1,241",-12.50%,"$14,967","85,000",-41,26
353,Woolworths Group,"$43,256.8",-2%,"$1,088.6",-81.10%,"$22,412.9","2,00,364",-18,28
354,Shanghai Construction Group,"$43,031.1",1.20%,$220.1,9.20%,"$53,830.4","51,272",-3,5
355,LG Chem,"$42,921.6",6.70%,"$1,024.3",-28.40%,"$59,800.5","40,000",16,5
356,Thermo Fisher Scientific,"$42,857",-4.60%,"$5,995",-13.70%,"$98,726","1,22,000",-28,5
357,Magna International,"$42,797",13.10%,"$1,213",104.90%,"$32,255","1,66,000",37,24
358,OMV Group,"$42,661.8",-34.90%,"$1,677.8",-56.90%,"$55,956.5","20,592",-155,16
359,Massachusetts Mutual Life Insurance,"$42,641.4",5.90%,$-771.6,-152%,"$397,895","11,323",10,27
360,USAA,"$42,493.4",17.10%,"$1,213.5",,"$211,637.6","37,376",57,11
361,Guangzhou Municipal Construction Group,"$42,403.2",8%,$152,1.60%,"$29,896.7","50,608",19,4
362,General Dynamics,"$42,272",7.30%,"$3,315",-2.20%,"$54,810","1,11,600",17,24
363,Vale,"$41,784",-5.70%,"$7,983",-57.50%,"$94,186","66,807",-31,18
364,Zijin Mining Group,"$41,445.6",3.10%,"$2,983.3",0.10%,"$48,325.6","55,239",9,4
365,Travelers,"$41,364",12.20%,"$2,991",5.20%,"$125,978","33,133",44,21
366,Warner Bros. Discovery,"$41,321",22.20%,"$-3,126",,"$122,757","35,300",83,2
367,Canadian Imperial Bank of Commerce,"$41,169.8",69%,"$3,704.2",-23.30%,"$703,068.9","48,074",,15
368,LyondellBasell Industries,"$41,107",-18.50%,"$2,114",-45.50%,"$37,000","20,000",-87,17
369,J. Sainsbury,"$41,088.4",8.40%,$172.1,-30.90%,"$31,666.7","1,00,000",21,30
370,Shenzhen Investment Holdings,"$41,025.2",8.30%,"$1,412.5",55.80%,"$162,424.9","1,03,928",21,5
371,Ansteel Group,"$40,684.6",-18.70%,$-83.1,-113.70%,"$68,003.3","1,49,765",-88,11
372,Hanwha,"$40,683.2",-15.70%,$291.3,-71.30%,"$161,907.5","69,345",-76,19
373,U.S. Bancorp,"$40,624",48.30%,"$5,429",-6.80%,"$663,491","75,465",,17
374,Lufthansa Group,"$40,455.4",17.40%,"$1,808.6",117.40%,"$50,056.3","79,759",65,28
375,Pegatron,"$40,356.8",-8.80%,$504.6,-0.50%,"$18,176.4","1,47,360",-42,12
376,Abbott Laboratories,"$40,109",-8.10%,"$5,723",-17.50%,"$73,214","1,14,000",-38,26
377,ThyssenKrupp,"$40,027.9",-10.10%,"$-2,209.6",-279.80%,"$35,228.6","99,981",-47,30
378,New Hope Holding Group,"$39,988",-3.50%,$-93,-1298.80%,"$41,771.3","79,066",-15,4
379,KDDI,"$39,812.7",-5%,"$4,413.5",-11.80%,"$93,546.2","61,288",-22,27
380,China National Nuclear,"$39,632.9",1.50%,"$1,297.4",1.30%,"$188,569.4","1,82,750",1,5
381,Taikang Insurance Group,"$39,411.6",13.10%,"$1,786.1",10.60%,"$235,068.5","55,408",50,7
382,Northrop Grumman,"$39,290",7.30%,"$2,056",-58%,"$46,544","1,01,000",31,25
383,Jiangsu Shagang Group,"$39,241.3",-8.30%,$227.7,-59.20%,"$51,667.9","44,004",-35,16
384,Meituan,"$39,092.5",19.60%,"$1,957.3",,"$41,284.6","1,14,860",83,2
385,Chery Holding Group,"$39,091.7",75.30%,$585.7,83.30%,"$37,346.7","56,584",,1
386,Inditex,"$38,903",14%,"$5,823.5",34.60%,"$35,554.5","1,14,510",58,8
387,Schneider Electric,"$38,812.2",8%,"$4,327.5",18.30%,"$65,053","1,68,044",34,23
388,Northwestern Mutual,"$38,788.1",5.10%,$711.4,-22%,"$358,828.6","8,239",20,30
389,Dollar General,"$38,691.6",2.20%,"$1,661.3",-31.20%,"$30,795.6","1,85,800",4,7
390,Cenovus Energy,"$38,689.8",-24.70%,"$3,045.3",-38.60%,"$40,894.3","6,925",-113,3
391,ACS,"$38,634.6",9.30%,$843.4,20%,"$40,311.8","1,22,979",37,20
392,Coop Group,"$38,582.7",7.70%,$640,8.70%,"$26,139.3","82,983",43,15
393,Fairfax Financial Holdings,"$38,417.2",37%,"$4,381.8",282%,"$91,985.1","51,044",,1
394,Guangzhou Industrial Investment Holdings,"$38,345.2",4.80%,$150.7,-35.60%,"$48,958.4","88,440",20,2
395,PBF Energy,"$38,324.8",-18.20%,"$2,140.5",-25.60%,"$14,387.8","3,776",-89,3
396,Standard Chartered,"$38,292",54.20%,"$3,469",17.70%,"$822,844","84,958",,10
397,Xiaomi,"$38,276.8",-8.10%,"$2,468.5",571.20%,"$45,682.8","33,627",-37,6
398,Compass Group,"$38,004.7",16.70%,"$1,609.5",13.30%,"$21,489.6","5,62,460",71,22
399,Meiji Yasuda Life Insurance,"$37,897.4",-5.30%,"$1,062.3",67.50%,"$349,493.5","47,140",-24,30
400,GSK,"$37,691.8",-12.40%,"$6,124.5",-66.80%,"$75,203.9","70,212",-57,30
401,Suncor Energy,"$37,609.3",-16.30%,"$6,147.7",-11.90%,"$67,156.4","14,906",-74,14
402,Hangzhou Industrial Investment Group,"$37,398",42%,$364.1,8.20%,"$12,096","4,056",,1
403,Uber Technologies,"$37,281",17%,"$1,887",,"$38,699","30,400",74,2
404,DZ Bank,"$37,220.9",31.70%,"$2,302.7",112.40%,"$711,938.4","29,901",,29
405,GS Caltex,"$37,216.9",-17.90%,$882.6,-59.20%,"$18,775.2","3,268",-83,12
406,Suzuki Motor,"$37,184.9",8.40%,"$1,852.4",13.40%,"$35,614.5","72,372",35,30
407,Haier Smart Home,"$36,928.8",2%,"$2,344.4",7.20%,"$35,698.4","1,12,458",12,7
408,X5 Retail Group,"$36,921.9",-1.50%,$918.8,41.20%,"$17,659.2","3,72,200",-10,5
409,La Poste,"$36,834.9",-1%,$555.7,-56.10%,"$845,509.2","2,32,726",-6,29
410,Hangzhou Iron and Steel Group,"$36,772.3",-0.10%,$197.3,-19.80%,"$14,862.9","11,492",1,3
411,Shanghai Pharmaceuticals Holding,"$36,768.8",6.60%,$532.3,-36.30%,"$29,864.5","48,164",27,5
412,Shandong Hi-Speed Group,"$36,743.8",6.60%,$491.6,10.50%,"$213,269.4","56,432",28,3
413,Honeywell International,"$36,662",3.40%,"$5,658",13.90%,"$61,525","95,000",12,30
414,Guangdong Guangxin Holdings,"$36,608.9",3.50%,$86,-75.80%,"$17,393.8","44,837",13,2
415,S.F. Holding,"$36,502.4",-8.20%,"$1,163.2",26.70%,"$31,205.5","1,53,125",-38,3
416,Mitsubishi Electric,"$36,379.9",-1.60%,"$1,971.6",24.80%,"$40,783.9","1,49,134",-9,30
417,Guangzhou Pharmaceutical Holdings,"$36,309.8",2.60%,$324,4.10%,"$11,794.5","35,391",9,4
418,China Datang,"$36,266.4",-3.60%,$332.9,83.20%,"$122,382.1","87,991",-22,15
419,Mapfre Group,"$36,097.7",45.70%,$732.1,8.40%,"$60,688.2","30,873",,15
420,CFE,"$36,077.6",16.80%,"$5,481.6",,"$137,339.7","92,054",,14
421,Jardine Matheson,"$36,049",-4.40%,$686,93.80%,"$89,182","4,43,000",-26,25
422,Mondelez International,"$36,016",14.40%,"$4,959",82.50%,"$71,391","91,000",65,17
423,Daiwa House Industry,"$35,999.4",-0.70%,"$2,067.1",-9.30%,"$43,206.7","48,483",-5,20
424,Starbucks,"$35,975.6",11.60%,"$4,124.5",25.70%,"$29,445.5","3,81,000",49,4
425,Olam Group,"$35,952.8",-9.80%,$207.6,-54.50%,"$25,287.1","65,980",-49,4
426,Qualcomm,"$35,820",-19%,"$7,232",-44.10%,"$51,040","50,000",-92,7
427,Broadcom,"$35,819",7.90%,"$14,082",22.50%,"$72,861","20,000",35,2
428,JFE Holdings,"$35,803.7",-8%,"$1,366",13.70%,"$38,056.9","62,218",-46,22
429,Hailiang Group,"$35,701.8",15.80%,$32.2,-35.80%,"$10,308.3","26,727",,5
430,US Foods Holding,"$35,597",4.50%,$506,90.90%,"$13,187","30,000",16,7
431,ELO Group,"$35,569",-0.60%,$-409.7,-1280.50%,"$22,955.6","1,45,025",-8,28
432,Migros Group,"$35,563.1",12.60%,$205.9,-58.10%,"$95,605.6","72,523",53,30
433,Mercadona,"$35,525.4",18.70%,"$1,090.7",44.40%,"$14,942.7","98,700",,2
434,D.R. Horton,"$35,460.4",5.90%,"$4,745.7",-19%,"$32,582.4","13,450",21,4
435,China Electronics,"$35,390.9",-12.20%,$26.8,,"$61,089.3","1,83,469",-67,14
436,Shudao Investment Group,"$35,379.3",-6.90%,$685.9,6.20%,"$188,446.2","55,878",-47,3
437,China National Coal Group,"$35,364",-15.80%,"$2,154.2",14.80%,"$73,994.9","1,44,531",-81,5
438,TongLing Nonferrous Metals Group,"$35,244.5",1.90%,$59.7,1093.60%,"$14,236.4","21,443",-2,6
439,CK Hutchison Holdings,"$35,199.8",5%,"$3,001.7",-35.90%,"$148,415.6","3,00,000",14,9
440,Philip Morris International,"$35,174",10.70%,"$7,813",-13.70%,"$65,304","82,700",40,16
441,Paccar,"$35,127.4",21.90%,"$4,600.8",52.80%,"$40,823.4","32,400",,4
442,PDD Holdings,"$34,981.1",80.20%,"$8,479.2",80.90%,"$49,040.3","17,403",,1
443,CRH,"$34,949",4.70%,"$3,178",-17.70%,"$47,469","78,500",16,21
444,Quanta Computer,"$34,860.2",-18.90%,"$1,274.1",31%,"$22,517.6","56,708",-99,19
445,Salesforce,"$34,857",11.20%,"$4,136",1888.50%,"$99,823","72,682",46,2
446,AIA Group,"$34,851",82.40%,"$3,764",1234.80%,"$286,319","27,320",,9
447,Nucor,"$34,713.5",-16.40%,"$4,524.8",-40.50%,"$35,340.5","32,000",-86,5
448,Jabil,"$34,702",3.70%,$818,-17.90%,"$19,424","2,36,000",8,4
449,National Australia Bank,"$34,549.9",85.90%,"$4,934.3",0.60%,"$682,706.8","38,516",,25
450,SAP SE,"$34,542",6.40%,"$6,636.6",176.30%,"$75,474.9","1,07,602",22,9
451,CRRC Group,"$34,519.7",-0.50%,$861.5,-4.50%,"$76,601.7","1,65,344",-17,6
452,Shanghai Delong Steel Group,"$34,399.5",2.60%,$223.3,-11.90%,"$21,814.5","42,843",-1,3
453,Lennar,"$34,233.4",1.70%,"$3,938.5",-14.60%,"$39,234.3","12,284",-3,4
454,Sompo Holdings,"$34,136.3",0.30%,"$2,878.7",327.50%,"$98,087.4","48,421",-7,28
455,Eli Lilly,"$34,124.1",19.60%,"$5,240.4",-16.10%,"$64,006.3","43,000",,16
456,Korea Gas,"$34,114.8",-14.90%,$-582.8,-150.40%,"$44,197.8","4,163",-82,9
457,Molina Healthcare,"$34,072",6.60%,"$1,091",37.80%,"$14,892","18,000",18,2
458,Beijing Jianlong Heavy Industry Group,"$34,069.6",3.60%,$138.9,-39.40%,"$26,732.8","57,863",7,4
459,Cummins,"$34,065",21.30%,$735,-65.80%,"$32,005","75,500",,1
460,Shaanxi Construction Engineering Holding,"$34,060.9",-1.90%,$352.7,-9.80%,"$61,076","41,390",-28,2
461,Rabobank Group,"$34,042.6",53.80%,"$4,634.5",89.40%,"$677,928","49,132",,26
462,Aisin,"$33,969.6",4.40%,$628.3,125.80%,"$30,703.7","1,15,140",8,23
463,Rajesh Exports,"$33,944.1",-19.80%,$40.5,-77.30%,"$2,648.4",141,-110,9
464,British American Tobacco,"$33,907.4",-0.60%,"$-17,855.4",-317.30%,"$151,307.7","49,839",-19,27
465,CPC,"$33,903.7",-14%,$-656.7,,"$34,350.3","17,142",-87,23
466,Bank of New York Mellon,"$33,805",69.10%,"$3,286",27.70%,"$409,953","53,400",,1
467,Tongwei Group,"$33,731.3",5.60%,$593.9,-63.70%,"$25,094","58,329",9,2
468,Netflix,"$33,723.3",6.70%,"$5,408",20.40%,"$48,732","13,000",16,4
469,Novo Nordisk,"$33,703.8",34.70%,"$12,143.4",54.70%,"$46,607.1","63,845",,1
470,Shougang Group,"$33,621.3",-8.80%,$343.8,82.10%,"$74,249.4","83,509",-60,13
471,Shanxi Coking Coal Group,"$33,533.2",-19.50%,"$1,252.5",252.60%,"$73,316.4","2,14,937",-112,11
472,Guangxi Investment Group,"$33,428.1",6.90%,$68.1,-18.90%,"$113,540.5","32,241",23,5
473,VTB Bank,"$33,420.2",73.10%,"$4,936.4",,"$327,759.9","76,100",,4
474,Mazda Motor,"$33,403",18.20%,"$1,437.1",36.20%,"$25,074.5","48,685",,28
475,Hunan Iron & Steel Group,"$33,344.8",1.90%,$834,-29.10%,"$24,473.1","36,114",-9,3
476,Power Corp. of Canada,"$33,264.8",-11.10%,"$1,665.3",10.30%,"$568,475.4","40,300",-77,26
477,Truist Financial,"$33,246",31.10%,"$-1,091",-117.40%,"$535,349","49,935",,2
478,Siemens Energy,"$33,184.9",5.80%,"$-4,832.9",,"$50,695.2","94,000",12,4
479,Schlumberger,"$33,135",18%,"$4,203",22.10%,"$47,957","1,11,000",,21
480,Ecopetrol,"$33,126.5",-11.80%,"$4,872.4",-34.50%,"$72,404.2","19,657",-83,7
481,Arrow Electronics,"$33,107.1",-10.80%,$903.5,-36.70%,"$21,726.2","22,100",-77,11
482,Jerónimo Martins,"$33,089.1",23.90%,$817.3,31.70%,"$15,790.8","1,34,379",,1
483,China National Aviation Fuel Group,"$32,984.2",4.20%,$98.8,-75.90%,"$10,700","13,694",,13
484,Commonwealth Bank of Australia,"$32,980.5",50.20%,"$6,788.5",-13.10%,"$834,520.1","49,454",,18
485,Centrica,"$32,882.1",12.30%,"$4,883",,"$27,231.7","21,014",,25
486,Linde,"$32,854",-1.50%,"$6,199",49.50%,"$80,811","66,323",-26,5
487,Heineken,"$32,823.1",8.70%,"$1,269.2",-10.20%,"$60,479.4","89,732",,15
488,Luxshare Precision Industry,"$32,758.5",3%,"$1,547.2",13.60%,"$22,822.9","2,32,585",-9,2
489,3M,"$32,681",-4.50%,"$-6,995",-221.10%,"$50,580","85,000",-46,30
490,Visa,"$32,653",11.40%,"$17,273",15.50%,"$90,499","28,800",,1
491,Apollo Global Management,"$32,644",180.80%,"$5,047",,"$313,488","6,855",,1
492,Emirates Group,"$32,637.9",12.20%,"$4,692.1",62.70%,"$44,635.3","1,12,406",,5
493,Vibra Energia,"$32,634.1",-7.20%,$954.5,220.50%,"$8,961.3","3,526",-64,2
494,Metro,"$32,579.2",1.20%,$468.1,,"$12,325.9","81,834",-20,7
495,Subaru,"$32,540.1",16.70%,"$2,664.4",79.90%,"$31,835.4","37,693",,20
496,Air France-KLM Group,"$32,452.3",16.90%,"$1,009.7",31.90%,"$38,093.7","76,271",,25
497,Enbridge,"$32,349.5",-21%,"$4,588.3",98.80%,"$136,769.6","12,450",-132,11
498,ABB,"$32,235",9.50%,"$3,745",51.30%,"$40,940","1,07,900",,29
499,Mitsubishi Heavy Industries,"$32,223.2",3.80%,"$1,536.2",59.40%,"$41,371.9","77,697",,30
500,Samsung C&T,"$32,077.9",-4.10%,"$1,698.5",7.30%,"$51,046.8","18,685",-43,8
